Table S1. List of candidate imprinted genes identified in this study for Arabidopsis. Genes are sorted with decreasing probability of being imprinted in Gehring, Hsieh, and Pignatta datasets. Wolff is listed as additional information.																												
	Gehring						Hsieh						Pignatta						Combined (Gehring, Hsieh, Pignatta)				Wolff					
Gene	logFC	pval	FDR	type	PercMaternal	rank	logFC	pval	FDR	type	PercMaternal	rank	logFC	pval	FDR	type	PercMaternal	rank	p.combined.Fisher	combined.rank	Model_name	Short_description	logFC	pval	FDR	type	PercMaternal	rank
AT1G70830	8.21	1.21E-101	1.37E-98	MEG	98.54	10	5.94	3.06E-74	2.98E-71	MEG	97.25	8	8.17	9.57E-46	3.40E-42	MEG	98.52	4	5.71E-216	7.3	AT1G70830.1	MLP-like protein 28	NA	NA	NA	NA	NA	6913
AT4G12290	10.96	2.26E-104	3.66E-101	MEG	99.17	7	6.29	4.47E-76	4.98E-73	MEG	97.53	7	8.91	3.67E-39	5.22E-36	MEG	98.76	10	5.87E-214	8.0	AT4G12290.1	Copper amine oxidase family protein	5.72	6.49E-20	9.09E-19	MEG	97.03	987
AT2G25450	7.60	3.72E-91	3.24E-88	MEG	98.30	13	6.32	5.15E-62	3.09E-59	MEG	97.56	13	8.20	1.14E-43	3.24E-40	MEG	98.53	5	2.77E-191	10.3	AT2G25450.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	7.73	1.74E-09	1.12E-08	MEG	98.36	2145
AT5G48100	10.23	2.01E-126	4.55E-123	MEG	99.05	5	7.41	2.20E-165	8.57E-162	MEG	98.21	2	7.51	6.70E-34	3.53E-31	MEG	98.26	27	1.03333829827697e-319	11.3	AT5G48100.1	Laccase/Diphenol oxidase family protein	8.13	2.52E-12	2.10E-11	MEG	98.51	1656
AT1G19640	7.98	3.41E-102	4.29E-99	MEG	98.45	9	5.62	3.54E-56	1.62E-53	MEG	96.93	17	7.82	7.26E-38	7.38E-35	MEG	98.39	14	1.11E-190	13.3	AT1G19640.1	jasmonic acid carboxyl methyltransferase	7.05	1.05E-06	4.90E-06	MEG	98.03	2954
AT1G57800	-4.79	4.33E-97	4.47E-94	PEG	95.83	11	-4.84	5.35E-138	1.39E-134	PEG	95.90	3	-4.98	3.83E-34	2.10E-31	PEG	96.13	26	1	13.3	AT1G57800.1	zinc finger (C3HC4-type RING finger) family protein	-8.28	4.08E-296	1.41E-292	PEG	98.56	4
AT1G62990	9.81	3.16E-62	1.49E-59	MEG	98.97	24	7.18	2.08E-73	1.80E-70	MEG	98.10	9	8.33	1.44E-38	1.87E-35	MEG	98.58	11	9.43E-169	14.7	AT1G62990.1	KNOTTED-like homeobox of Arabidopsis thaliana 7	7.35	5.67E-101	8.25E-99	MEG	98.18	95
AT1G51500	10.03	1.65E-71	9.84E-69	MEG	99.02	19	4.67	2.53E-32	5.64E-30	MEG	95.62	35	9.29	1.09E-48	7.74E-45	MEG	98.86	2	3.46E-147	18.7	AT1G51500.1	ABC-2 type transporter family protein	4.61	1.85E-25	3.52E-24	MEG	95.51	727
AT1G61720	10.12	1.22E-129	3.46E-126	MEG	99.03	4	6.12	3.06E-22	4.59E-20	MEG	97.40	52	8.18	3.97E-53	5.64E-49	MEG	98.53	1	2.05E-199	19.0	AT1G61720.1	NAD(P)-binding Rossmann-fold superfamily protein	8.02	0	0	MEG	98.47	1.5
